hotspot_id,feature_id,contrat_id,contrato,area_nombre,operador,estado_area,tipo_contrato,cuenca,proceso,distancia_m,clase_espacial
1c428634e6f77a7216655963,45,0093,TIBU,TIBU,ECOPETROL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,CAT,CONTRATACION DIRECTA,0.00,dentro
30524d87752e03a8226f20a8,311,0539,VMM 65,NO APLICA,ECOPETROL S.A.,EXPLORACION,CONTRATO DE EVALUACION TECNICA ANH,VMM,RONDA COLOMBIA 2021,0.00,dentro
3e0ea54e23797c756fa8e540,45,0093,TIBU,TIBU,ECOPETROL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,CAT,CONTRATACION DIRECTA,0.00,dentro
42f15371b17314b913b662d3,217,0372,CR 4,NO APLICA,"DRUMMOND ENERGY, INC",EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),CES RAN,OPEN ROUND 2010,0.00,dentro
4a681a1e440f586776bd81a1,217,0372,CR 4,NO APLICA,"DRUMMOND ENERGY, INC",EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),CES RAN,OPEN ROUND 2010,0.00,dentro
4a681a1e440f586776bd81a1,216,0381,CR 3,NO APLICA,"DRUMMOND ENERGY, INC",EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),CES RAN,OPEN ROUND 2010,1428.29,entre_1_y_5_km
4a9be8fe081ef24324c90cc7,45,0093,TIBU,TIBU,ECOPETROL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,CAT,CONTRATACION DIRECTA,0.00,dentro
5e32e33cd30a4da032b6fca1,72,0112,LA MAYE,NO APLICA,NEW HORIZON EXPLORATION INC COLOMBIA,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VIM,MINIRONDA 2007,0.00,dentro
65eb95dbbd628062bee7edd5,217,0372,CR 4,NO APLICA,"DRUMMOND ENERGY, INC",EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),CES RAN,OPEN ROUND 2010,0.00,dentro
65eb95dbbd628062bee7edd5,248,0379,LA LOMA ADICIONAL,PAUJIL-CANARIO,"DRUMMOND ENERGY, INC",EVALUACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),CES RAN,CONTRATACION DIRECTA,1343.31,entre_1_y_5_km
65eb95dbbd628062bee7edd5,392,0075,LA LOMA,LA LOMA,"DRUMMOND ENERGY, INC",EVALUACION,CONTRATO DE EXPLORACION Y EXPLOTACION (E&E),CES RAN,CONTRATACION DIRECTA,1343.31,entre_1_y_5_km
6d17b45ba59483c4f0b8ca53,72,0112,LA MAYE,NO APLICA,NEW HORIZON EXPLORATION INC COLOMBIA,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VIM,MINIRONDA 2007,0.00,dentro
6d2227c2f4a007dfb767bae9,217,0372,CR 4,NO APLICA,"DRUMMOND ENERGY, INC",EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),CES RAN,OPEN ROUND 2010,2195.21,entre_1_y_5_km
6d2227c2f4a007dfb767bae9,216,0381,CR 3,NO APLICA,"DRUMMOND ENERGY, INC",EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),CES RAN,OPEN ROUND 2010,4400.22,entre_1_y_5_km
79fb771d6eb8eb3e39a31915,215,0380,CR 2,NO APLICA,"DRUMMOND ENERGY, INC",EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),CES RAN,OPEN ROUND 2010,0.00,dentro
8438021539d9cb68cfa55838,217,0372,CR 4,NO APLICA,"DRUMMOND ENERGY, INC",EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),CES RAN,OPEN ROUND 2010,2489.88,entre_1_y_5_km
8438021539d9cb68cfa55838,216,0381,CR 3,NO APLICA,"DRUMMOND ENERGY, INC",EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),CES RAN,OPEN ROUND 2010,3722.81,entre_1_y_5_km
