scenario,spatialMeters,temporalHours,totalHotspots,candidateLinks,candidateEpisodes,robustEpisodes,singletonHotspots,candidateEpisodeHotspots,robustEpisodeHotspots,pairedOnlyEpisodes,medianEpisodeSize,p95EpisodeSize,maxEpisodeSize,medianDurationHours,p95DurationHours,maxDurationHours,p95BboxDiagonalKm,maxBboxDiagonalKm,crossMunicipalityEpisodes,multiSourceEpisodes,chainedEpisodes,chainedHotspots,largestEpisodeSharePct
A,500,12,31353,30298,5568,2777,10200,21153,15571,2791,2.0,9,130,0.35,10.23,72.43,1.27,6.55,174,3721,46,1886,0.415
A,500,24,31353,34174,5421,2755,9636,21717,16385,2666,3,10,172,0.57,24.0,156.1,1.32,9.09,172,3620,55,2391,0.549
A,500,48,31353,36825,5349,2742,9261,22092,16878,2607,3,10,175,0.57,36.4,371.57,1.36,9.09,170,3615,59,2667,0.558
A,1000,12,31353,60083,5759,3012,8144,23209,17715,2747,3,10,296,0.35,10.95,72.43,1.6,11.67,233,3774,13,1205,0.944
A,1000,24,31353,70290,5518,2953,7607,23746,18616,2565,3.0,11,346,0.57,24.43,169.7,1.7,16.41,223,3636,19,1615,1.104
A,1000,48,31353,76581,5421,2928,7196,24157,19171,2493,3,11,425,0.6,47.37,371.57,1.76,16.41,217,3633,23,2036,1.356
A,2000,12,31353,90661,5761,3086,7249,24104,18754,2675,3,10,306,0.35,11.32,72.43,2.31,13.18,286,3769,5,493,0.976
A,2000,24,31353,115000,5444,3024,6669,24684,19844,2420,3.0,11,455,0.6,24.6,193.95,2.53,20.02,272,3603,12,1218,1.451
A,2000,48,31353,130035,5299,2998,6170,25183,20581,2301,3,12,459,0.6,48.13,371.57,2.72,24.08,272,3577,15,1803,1.464
B,500,12,21930,13828,3759,1601,9425,12505,8189,2158,2,8,71,0.0,11.73,48.1,1.21,5.6,135,1834,27,876,0.324
B,500,24,21930,15628,3699,1636,8919,13011,8885,2063,2,8,106,0.75,24.42,155.48,1.3,8.72,132,1795,32,1159,0.483
B,500,48,21930,16822,3667,1654,8631,13299,9273,2013,2,9,114,0.75,37.02,244.63,1.33,8.75,134,1831,37,1307,0.52
B,1000,12,21930,28905,4040,1868,7377,14553,10209,2172,2.0,8,157,0.0,11.78,52.33,1.64,10.93,188,1959,9,643,0.716
B,1000,24,21930,33602,3908,1881,6901,15029,10975,2027,2.0,9,232,0.75,24.47,155.48,1.68,16.26,179,1907,16,1013,1.058
B,1000,48,21930,36536,3854,1878,6603,15327,11375,1976,2.0,9,289,0.75,47.37,275.73,1.78,16.26,172,1929,16,1156,1.318
B,2000,12,21930,44275,4131,1955,6548,15382,11030,2176,2,9,211,0.0,11.82,58.45,2.34,13.05,229,1994,2,270,0.962
B,2000,24,21930,55112,3947,1969,6049,15881,11925,1978,2,9,315,0.75,24.57,169.83,2.5,19.86,219,1942,9,779,1.436
B,2000,48,21930,62391,3877,1971,5667,16263,12451,1906,3,10,317,0.75,48.13,275.73,2.68,23.92,215,1968,9,1002,1.446
