run_id,started_at_utc,finished_at_utc,mode,as_of,requested_files,downloaded_files,missing_files,failed_files,raw_files_processed,rows_read,rows_valid_before_dedup,rows_unique,rows_rejected_cutoff,rows_rejected_invalid,status
20260901T013914Z,2026-09-01T01:39:14Z,2026-09-01T01:39:25Z,backfill,2026-08-31,62,62,0,0,62,30890,30890,30890,0,0,completed
20260901T084320Z,2026-09-01T08:43:20Z,2026-09-01T08:43:22Z,refresh,2026-09-01,3,2,1,0,62,30891,30891,30891,0,0,completed
20260901T141031Z,2026-09-01T14:10:31Z,2026-09-01T14:10:33Z,refresh,2026-09-01,3,3,0,0,63,30910,30910,30910,0,0,completed
20260901T151103Z,2026-09-01T15:11:03Z,2026-09-01T15:11:12Z,backfill,2026-09-01,63,63,0,0,63,30910,30910,30910,0,0,completed
20260901T183522Z,2026-09-01T18:35:22Z,2026-09-01T18:35:24Z,refresh,2026-09-01,3,3,0,0,63,30910,30910,30910,0,0,completed
20260901T184812Z,2026-09-01T18:48:12Z,2026-09-01T18:48:21Z,backfill,2026-09-01,63,63,0,0,63,30910,30910,30910,0,0,completed
20260901T223311Z,2026-09-01T22:33:11Z,2026-09-01T22:33:22Z,backfill,2026-09-01,63,63,0,0,63,31322,31322,31322,0,0,completed
20260901T232106Z,2026-09-01T23:21:06Z,2026-09-01T23:21:08Z,refresh,2026-09-01,3,3,0,0,63,31325,31325,31325,0,0,completed
20260902T001304Z,2026-09-02T00:13:04Z,2026-09-02T00:13:13Z,backfill,2026-09-01,63,63,0,0,63,31325,31325,31325,0,0,completed
20260902T064201Z,2026-09-02T06:42:01Z,2026-09-02T06:42:14Z,backfill,2026-09-02,64,63,1,0,63,31325,31325,31325,0,0,completed
20260902T112433Z,2026-09-02T11:24:33Z,2026-09-02T11:24:35Z,refresh,2026-09-02,3,3,0,0,64,31353,31353,31353,0,0,completed
20260902T114854Z,2026-09-02T11:48:54Z,2026-09-02T11:49:05Z,backfill,2026-09-02,64,64,0,0,64,31353,31353,31353,0,0,completed
20260902T123119Z,2026-09-02T12:31:19Z,2026-09-02T12:31:29Z,backfill,2026-09-02,64,64,0,0,64,31353,31353,31353,0,0,completed
20260902T125239Z,2026-09-02T12:52:39Z,2026-09-02T12:52:51Z,backfill,2026-09-02,64,64,0,0,64,31353,31353,31353,0,0,completed
20260902T163829Z,2026-09-02T16:38:29Z,2026-09-02T16:38:32Z,refresh,2026-09-02,3,3,0,0,64,31356,31356,31356,0,0,completed
20260902T210643Z,2026-09-02T21:06:43Z,2026-09-02T21:06:44Z,refresh,2026-09-02,3,3,0,0,64,31383,31383,31383,0,0,completed
20260902T232102Z,2026-09-02T23:21:02Z,2026-09-02T23:21:04Z,refresh,2026-09-02,3,3,0,0,64,31615,31615,31615,0,0,completed
20260903T042108Z,2026-09-03T04:21:08Z,2026-09-03T04:21:19Z,backfill,2026-09-02,64,64,0,0,64,31645,31645,31645,0,0,completed
20260903T044222Z,2026-09-03T04:42:22Z,2026-09-03T04:42:32Z,backfill,2026-09-02,64,64,0,0,64,31645,31645,31645,0,0,completed
20260903T112104Z,2026-09-03T11:21:04Z,2026-09-03T11:21:05Z,refresh,2026-09-03,3,3,0,0,65,31666,31666,31666,0,0,completed
20260903T163000Z,2026-09-03T16:30:00Z,2026-09-03T16:30:02Z,refresh,2026-09-03,3,3,0,0,65,31679,31679,31679,0,0,completed
20260903T231915Z,2026-09-03T23:19:15Z,2026-09-03T23:19:17Z,refresh,2026-09-03,3,3,0,0,65,31873,31873,31873,0,0,completed
20260904T043922Z,2026-09-04T04:39:22Z,2026-09-04T04:39:24Z,refresh,2026-09-03,3,3,0,0,65,31939,31939,31939,0,0,completed
20260904T112421Z,2026-09-04T11:24:21Z,2026-09-04T11:24:22Z,refresh,2026-09-04,3,3,0,0,66,32001,32001,32001,0,0,completed
20260904T162554Z,2026-09-04T16:25:54Z,2026-09-04T16:25:56Z,refresh,2026-09-04,3,3,0,0,66,32003,32003,32003,0,0,completed
20260904T204835Z,2026-09-04T20:48:35Z,2026-09-04T20:48:37Z,refresh,2026-09-04,3,3,0,0,66,32003,32003,32003,0,0,completed
20260904T230502Z,2026-09-04T23:05:02Z,2026-09-04T23:05:04Z,refresh,2026-09-04,3,3,0,0,66,32334,32334,32334,0,0,completed
20260905T043536Z,2026-09-05T04:35:36Z,2026-09-05T04:35:37Z,refresh,2026-09-04,3,3,0,0,66,32334,32334,32334,0,0,completed
20260905T104054Z,2026-09-05T10:40:54Z,2026-09-05T10:40:56Z,refresh,2026-09-05,3,3,0,0,67,32398,32398,32398,0,0,completed
20260905T151821Z,2026-09-05T15:18:21Z,2026-09-05T15:18:23Z,refresh,2026-09-05,3,3,0,0,67,32398,32398,32398,0,0,completed
20260905T202632Z,2026-09-05T20:26:32Z,2026-09-05T20:26:34Z,refresh,2026-09-05,3,3,0,0,67,32421,32421,32421,0,0,completed
20260905T225731Z,2026-09-05T22:57:31Z,2026-09-05T22:57:33Z,refresh,2026-09-05,3,3,0,0,67,33119,33119,33119,0,0,completed
