period,scenario,hotspots,departments,municipalities,runap,mining,anlaWithin5,anhWithin5
2026-07-01,A,325,17,100,9,49,149,117
2026-07-01,B,248,16,92,7,35,120,99
2026-07-02,A,137,16,61,11,24,89,71
2026-07-02,B,79,14,41,6,22,51,43
2026-07-03,A,121,10,41,18,33,62,21
2026-07-03,B,76,8,34,13,23,40,15
2026-07-04,A,7,3,4,3,2,1,3
2026-07-04,B,5,2,3,2,1,0,3
2026-07-05,A,138,17,68,19,20,88,48
2026-07-05,B,106,16,57,16,14,64,32
2026-07-06,A,467,23,168,41,93,289,152
2026-07-06,B,359,23,147,26,69,223,111
2026-07-07,A,520,21,168,84,72,311,184
2026-07-07,B,314,21,131,52,46,192,107
2026-07-08,A,518,20,138,44,90,328,235
2026-07-08,B,294,19,113,18,56,189,142
2026-07-09,A,23,8,12,0,9,18,20
2026-07-09,B,18,7,11,0,7,13,15
2026-07-10,A,183,21,63,8,19,77,52
2026-07-10,B,176,21,62,8,19,71,48
2026-07-11,A,166,21,60,29,27,83,66
2026-07-11,B,166,21,60,29,27,83,66
2026-07-12,A,42,10,22,5,5,21,16
2026-07-12,B,42,10,22,5,5,21,16
2026-07-13,A,256,19,73,15,26,148,70
2026-07-13,B,256,19,73,15,26,148,70
2026-07-14,A,485,22,155,27,60,273,173
2026-07-14,B,485,22,155,27,60,273,173
2026-07-15,A,610,22,141,65,75,308,203
2026-07-15,B,610,22,141,65,75,308,203
2026-07-16,A,807,25,199,139,118,436,310
2026-07-16,B,807,25,199,139,118,436,310
2026-07-17,A,1272,21,194,152,227,639,464
2026-07-17,B,894,21,185,109,166,463,332
2026-07-18,A,434,17,109,41,75,222,162
2026-07-18,B,241,17,87,27,44,129,91
2026-07-19,A,63,10,24,0,7,37,17
2026-07-19,B,40,9,18,0,4,26,12
2026-07-20,A,142,9,28,7,18,54,39
2026-07-20,B,110,9,25,4,13,44,31
2026-07-21,A,338,18,70,2,44,216,122
2026-07-21,B,255,18,63,2,37,164,92
2026-07-22,A,389,22,131,24,78,267,188
2026-07-22,B,282,21,109,15,55,202,143
2026-07-23,A,10,5,7,1,2,8,4
